Nc3 d5 e4 d4 Nce2 e5 Ng3 Be6 Nf3 f6 Be2 Nc6
Nf3 Nf6 b3 g6 Bb2 Bg7 g3 O-O Bg2 d6 d4 a5
Nf3 Nf6 b3 g6 Bb2 Bg7 g3 O-O Bg2 d6 d4 b5
Nf3 Nf6 c4 b6 Nc3 Bb7 d4 e6 Bg5 Be7 e3 O-O
Nf3 Nf6 c4 b6 Nc3 Bb7 d4 e6 a3 d5 Bg5 Be7
Nf3 Nf6 c4 b6 Nc3 Bb7 d4 e6 a3 d5 cxd5 Nxd5
Nf3 Nf6 c4 b6 d4 e6 g3 Ba6 Qb3 Nc6 Nbd2 Na5
Nf3 Nf6 c4 b6 d4 e6 g3 Ba6 b3 Bb4+ Bd2 Be7
Nf3 Nf6 c4 b6 e3 Bb7 Be2 e6 O-O c5 Nc3 Be7
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 c5 O-O g6 Nc3 Bg7
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 e6 O-O Be7 Nc3 O-O
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 g6 Nc3 Bg7 O-O O-O
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 g6 b3 e5 Bb2 d6
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O e6 Nc3 Be7
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O e6 Nc3 d6
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O e6 b3 Be7
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O g6 Nc3 Bg7
Nf3 Nf6 c4 c5 Nc3 Nc6 d4 cxd4 Nxd4 Qb6 Nb3 e6
Nf3 Nf6 c4 c5 Nc3 Nc6 d4 cxd4 Nxd4 e6 a3 Bc5
Nf3 Nf6 c4 c5 Nc3 Nc6 d4 cxd4 Nxd4 e6 g3 Qb6
Nf3 Nf6 c4 c5 Nc3 Nc6 d4 cxd4 Nxd4 g6 e4 d6
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 e5 Be2 d5 d4 exd4
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 e6 d4 d5 a3 a6
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 e6 d4 d5 a3 cxd4
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 g6 d4 Bg7 d5 Nb8
